"No.","Time","Source","Destination","Protocol","Length","Info"
"224","6.141399","34.149.43.113","192.168.254.198","TLSv1.2","1394","[TCP Previous segment not captured] , Ignored Unknown Record"
"382","6.408266","104.97.25.54","192.168.254.198","TLSv1.2","1394","[TCP Previous segment not captured] , Ignored Unknown Record"
"396","6.409105","54.169.90.152","192.168.254.198","TLSv1.3","1394","[TCP Previous segment not captured] , Continuation Data"
"446","6.470870","207.65.33.78","192.168.254.198","TLSv1.2","2734","[TCP Previous segment not captured] , Ignored Unknown Record"
"497","6.592170","54.169.90.152","192.168.254.198","TLSv1.3","1394","[TCP Previous segment not captured] , Continuation Data"
"548","6.784877","192.168.254.198","207.65.33.78","TCP","510","[TCP Retransmission] 13219  >  443 [PSH, ACK] Seq=1341 Ack=1 Win=131072 Len=456 [TCP PDU reassembled in 145]"
"635","7.047395","207.65.33.78","192.168.254.198","TCP","493","[TCP Previous segment not captured] 443  >  13219 [PSH, ACK] Seq=4021 Ack=1797 Win=15196 Len=439 [TCP PDU reassembled in 637], Application Data, Application Data"
"822","7.283643","207.65.33.78","192.168.254.198","TCP","1394","[TCP Spurious Retransmission] 443  >  13219 [ACK] Seq=2681 Ack=1797 Win=15196 Len=1340 [TCP PDU reassembled in 637]"
"844","7.322405","2606:4700::6811:180e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13249 [ACK] Seq=1341 Ack=1827 Win=73728 Len=1340"
"850","7.322659","2606:4700::6811:180e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Fast Retransmission] , Server Hello, Change Cipher Spec"
"945","7.587153","143.244.197.139","192.168.254.198","TLSv1.3","1394","[TCP Previous segment not captured] , Continuation Data"
"955","7.595059","143.244.197.139","192.168.254.198","TCP","707","[TCP Previous segment not captured] 443  >  13237 [PSH, ACK] Seq=11427 Ack=4682 Win=64128 Len=653 [TCP PDU reassembled in 957], Application Data"
"988","7.698780","2620:109:c002::6cae:a1f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","290","[TCP Previous segment not captured] , Ignored Unknown Record"
"1006","7.750236","2606:4700:4400::6812:202f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","816","[TCP Previous segment not captured] , Ignored Unknown Record"
"1155","8.338364","2606:4700:4400::6812:202f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1169","8.350712","2606:4700:4400::6812:202f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","227","[TCP Previous segment not captured] , Ignored Unknown Record"
"1179","8.351129","2606:4700:4400::6812:202f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","125","[TCP Previous segment not captured] , Ignored Unknown Record"
"1193","8.351693","2606:4700:4400::6812:202f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1202","8.352288","2606:4700:4400::6812:202f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1206","8.352288","2606:4700:4400::6812:202f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","227","[TCP Previous segment not captured] , Ignored Unknown Record"
"1215","8.353362","2620:109:c002::6cae:a1f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","794","[TCP Previous segment not captured] 443  >  13244 [PSH, ACK] Seq=2897 Ack=1759 Win=7168 Len=720 [TCP PDU reassembled in 2035], Application Data, Application Data"
"1217","8.365984","108.174.10.31","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13247 [SYN, ACK] Seq=0 Ack=1 Win=7300 Len=0 MSS=1340 SACK_PERM WS=1024"
"1243","9.661489","2620:109:c002::6cae:a1f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Retransmission] 443  >  13244 [ACK] Seq=1341 Ack=1759 Win=7168 Len=1340 [TCP PDU reassembled in 2035]"
"1304","10.309420","2606:4700:10::ac43:603","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","895","[TCP Previous segment not captured] 443  >  13253 [PSH, ACK] Seq=2681 Ack=1787 Win=73728 Len=821 [TCP PDU reassembled in 1306]"
"1308","10.382130","108.174.10.31","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13247 [SYN, ACK] Seq=0 Ack=1 Win=7300 Len=0 MSS=1340 SACK_PERM WS=1024"
