"No.","Time","Source","Destination","Protocol","Length","Info"
"22","0.411819","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","105","[TCP Previous segment not captured] , Application Data"
"90","6.479346","2606:4700:10::ac43:603","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  12723 [ACK] Seq=5900 Ack=4773 Win=81920 Len=1340 [TCP PDU reassembled in 93]"
"269","7.286088","2001:4860:4802:34::178","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Continuation Data"
"273","7.286349","2001:4860:4802:34::178","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Fast Retransmission] , Server Hello"
"499","11.303365","2404:6800:4009:811::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"738","11.896237","2606:4700:10::ac43:603","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","109","[TCP Previous segment not captured] , Ignored Unknown Record"
"752","11.943585","2606:4700:10::ac43:603","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Spurious Retransmission] 443  >  12735 [ACK] Seq=1 Ack=1994 Win=73728 Len=1340"
"852","12.281011","2606:4700:10::ac43:603","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","125","[TCP Previous segment not captured] , Ignored Unknown Record"
"915","12.468301","2404:6800:4009:807::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Continuation Data"
"921","12.468521","2404:6800:4009:807::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Fast Retransmission] , Server Hello"
"923","12.468521","2404:6800:4009:807::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Continuation Data"
"927","12.468689","2404:6800:4009:807::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Continuation Data"
"1260","16.014194","2404:6800:4009:827::200a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"1261","16.014194","2404:6800:4009:827::200a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
